,HoursActual,HoursEstimate,HoursPredict
0,1.75,14.0,2.639691756905706
1,7.0,7.0,2.015587462370485
2,0.7,0.7,0.5310845331461548
3,0.7,0.7,0.46287391929120075
4,3.5,3.5,1.455577995951743
5,7.0,7.0,2.0390503081130684
6,7.0,7.0,1.85089268166637
7,7.0,7.0,2.022676383531168
8,1.4,1.4,0.7700883866583077
9,1.75,1.75,1.0239473836924422
10,1.75,14.0,2.633592519546751
11,14.0,14.0,2.639691756905706
12,17.5,14.0,2.633592519546751
13,7.0,14.0,2.567541026840971
14,7.0,7.0,1.710196276966315
15,0.35,1.75,1.0133638239732627
16,70.0,70.0,4.209741147684095
17,3.5,7.0,1.870694700516895
18,0.7,1.75,1.0239473836924422
19,1.4,1.75,1.028963807749495
20,7.0,7.0,2.010958081778391
21,7.0,7.0,1.7013504436124662
22,1.75,1.75,1.0183802480303155
23,0.7,3.5,1.455577995951743
24,1.75,1.75,1.0133638239732627
25,7.0,14.0,2.598369264678398
26,12.25,10.5,2.3014192363045947
27,0.7,0.7,0.46287391929120075
28,105.0,28.0,3.1343124229627635
29,14.0,14.0,2.4722032809724364
30,0.7,0.7,0.46287391929120075
31,28.0,14.0,2.639691756905706
32,1.75,3.5,1.455577995951743
33,7.0,7.0,2.022676383531168
34,3.5,1.75,1.0239473836924422
35,2.1,2.1,1.1598465074318431
36,1.4,1.4,0.7602118147070979
37,7.0,7.0,2.022676383531168
38,7.0,7.0,2.062357977251331
39,28.0,28.0,3.100639534521474
40,7.0,7.0,1.7013504436124662
41,3.5,3.5,1.455577995951743
42,2.1,2.1,1.1542793717697162
43,7.0,7.0,2.015587462370485
44,1.75,1.75,1.0183802480303155
45,7.0,7.0,2.1388470152840986
46,1.75,7.0,1.85089268166637
47,7.0,7.0,2.0461392292737512
48,1.75,7.0,1.7013504436124662
49,3.5,7.0,1.710196276966315
50,7.0,7.0,2.015587462370485
51,7.0,7.0,2.015587462370485
52,5.25,14.0,2.4722032809724364
53,1.05,7.0,1.710196276966315
54,0.7,7.0,1.85089268166637
55,1.75,7.0,1.870694700516895
56,0.7,0.7,0.46287391929120075
57,0.7,3.5,1.455577995951743
58,7.0,7.0,2.022676383531168
59,1.75,1.75,1.0183802480303155
60,21.0,7.0,2.0461392292737512
61,21.0,7.0,2.015587462370485
62,1.4,3.5,1.455577995951743
63,1.75,7.0,1.710196276966315
64,7.0,7.0,2.062357977251331
65,0.7,1.4,0.7700883866583077
66,7.0,7.0,2.0461392292737512
67,2.8,7.0,2.0388951315087476
68,14.0,14.0,2.6459287411256103
69,70.0,70.0,4.225222524365732
70,14.0,35.0,3.1895757045223867
71,3.5,14.0,2.561441789482016
72,7.0,14.0,2.598369264678398
73,14.0,14.0,2.639691756905706
74,7.0,7.0,2.015587462370485
75,14.0,14.0,2.633592519546751
76,42.0,35.0,2.8799019864969044
77,21.0,35.0,2.8799019864969044
78,7.0,3.5,1.455577995951743
79,1.75,7.0,2.015587462370485
